model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
95F_threshold,C(StateAbbr)[T.LA],-0.4132759936045532,0.07190707321034882,9.064642591460208e-09,-0.5542112673305218,-0.27234071987858455,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MA],-1.942294452090763,0.05800940377704997,8.692414706535752e-246,-2.0559907942584226,-1.8285981099231032,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MD],-0.25081157775400365,0.060807435972237284,3.712409342500468e-05,-0.3699919622518141,-0.13163119325619324,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.ME],-1.5684081044633393,0.07058396318721956,2.17829417657561e-109,-1.7067501301963908,-1.430066078730288,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MI],-1.6653033114754185,0.054666649236482366,8.089787447799601e-204,-1.772447975134408,-1.558158647816429,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MN],-1.9983778914863388,0.055697760576199386,6.5031395104833935e-282,-2.1075434962352246,-1.8892122867374532,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MO],-2.896912256703231,0.05936720368544942,0.0,-3.0132698377895655,-2.7805546756168966,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MS],-1.532539702140816,0.0735184652827081,1.6694970841922905e-96,-1.6766332462935822,-1.3884461579880498,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.MT],-1.0704592703170246,0.0749008771060936,2.4659274363051315e-46,-1.2172622918554288,-0.9236562487786204,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NC],-0.23450832186310586,0.05313192087124281,1.0161908156492837e-05,-0.3386449732001738,-0.13037167052603793,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.ND],-2.059116621069585,0.0851118033183317,2.6310177691329623e-129,-2.2259326902327716,-1.8923005519063982,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NE],-2.159192239226348,0.06664406669053671,2.847443171500567e-230,-2.2898122097230855,-2.0285722687296106,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NH],-2.0367526001927136,0.06660303257059003,2.225305478959016e-205,-2.1672921452922185,-1.906213055093209,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NJ],-1.666689138166583,0.053620232436812736,4.061141975040773e-212,-1.7717828625854022,-1.5615954137477637,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NM],0.5584753319976465,0.07646476828909643,2.799710061369071e-13,0.40860714006481713,0.708343523930476,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NV],-0.39134096601572427,0.0663831463263413,3.742605476566349e-09,-0.5214495419958056,-0.2612323900356429,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.NY],-2.4708830573725997,0.05340441679865089,0.0,-2.5755537909133213,-2.366212323831878,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.OH],-0.9767644916651739,0.057270204549605595,3.1885107896303233e-65,-1.0890120299696429,-0.864516953360705,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.OK],-2.6992844435851184,0.059639864649540845,0.0,-2.816176430341062,-2.582392456829175,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.OR],0.27886641963224373,0.05637093627509283,7.537011056850357e-07,0.16838141475825932,0.38935142450622817,77125.0,0.8949608169450987,0.8948858561298809
