model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
model4_state_fixed_effects,C(StateAbbr)[T.ID],-1.176665196453913,0.06589050016771576,2.509553674284542e-71,-1.3058082037059662,-1.0475221892018598,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.IL],-0.39528842028151806,0.054073696742311606,2.6678609071685686e-13,-0.5012709184073897,-0.28930592215564643,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.IN],-0.18495463663626038,0.06104862243939819,0.0024485484775556114,-0.3046077379232646,-0.06530153534925616,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.KS],-1.960484843405765,0.06338366274314537,4.655762041207472e-210,-2.0847145395905633,-1.8362551472209667,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.LA],-0.4991910648357703,0.07246130060773305,5.615779767944292e-12,-0.6412126042998574,-0.3571695253716832,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MA],-1.9235642134148592,0.05861144045083642,3.163195490103257e-236,-2.0384405257805125,-1.8086879010492056,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MD],-0.19730089794715922,0.06137423311996533,0.0013057238584636354,-0.31759218444105664,-0.07700961145326181,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.ME],-1.550795093295523,0.07057879738108315,5.274127474974376e-107,-1.689126994234596,-1.4124631923564501,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MI],-1.6187398400052868,0.05562578062726031,3.5346157772434067e-186,-1.727764366646643,-1.5097153133639307,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MN],-1.9421392067057726,0.056685132205411215,2.902225673196643e-257,-2.05324002428727,-1.831038389124275,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MO],-2.874092556260917,0.05946991711555333,0.0,-2.9906514519709835,-2.7575336605508505,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MS],-1.5866300488040697,0.07361621199394139,4.991966221847343e-103,-1.7309151729904604,-1.442344924617679,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.MT],-1.168661555187369,0.07421624808647961,7.235141614477749e-56,-1.3141227285045587,-1.0232003818701791,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.NC],-0.2041909853411107,0.053073148424787886,0.00011940226454858073,-0.30821244479984367,-0.10016952588237772,77125.0,0.8947460611421227,0.8946709470672394
